diameter,class,sex_I,sex_M
0.51,10,False,False
0.485,9,True,False
0.525,12,False,False
0.525,9,False,True
0.54,10,False,True
0.515,11,False,True
0.515,13,False,True
0.55,11,False,True
0.58,13,False,True
0.59,12,False,True
0.575,12,False,True
0.215,6,True,False
0.33,6,True,False
0.355,8,False,True
0.37,9,False,False
0.41,8,False,False
0.4,10,False,False
0.4,8,True,False
0.405,13,False,True
0.425,9,False,True
0.425,9,False,True
0.485,8,False,True
0.475,9,False,True
0.49,9,False,False
0.51,9,False,False
0.525,11,False,False
0.495,11,False,True
0.505,10,False,True
0.515,11,False,False
0.54,13,False,True
0.545,11,False,True
0.585,14,False,True
0.185,4,True,False
0.26,6,True,False
0.285,8,True,False
0.3,7,True,False
0.28,8,True,False
0.3,6,True,False
0.32,6,True,False
0.335,7,True,False
0.325,8,True,False
0.32,9,True,False
0.33,8,True,False
0.34,8,True,False
0.355,9,True,False
0.375,8,True,False
0.375,9,True,False
0.33,7,True,False
0.38,8,True,False
0.385,7,True,False
0.41,11,True,False
0.4,8,True,False
0.41,8,False,True
0.45,9,False,True
0.44,9,True,False
0.45,10,False,True
0.47,9,False,True
0.43,8,True,False
0.445,10,False,True
0.435,10,False,False
0.45,11,False,True
0.435,9,False,True
0.47,8,True,False
0.405,9,False,True
0.48,9,False,True
0.46,9,False,False
0.45,11,False,False
0.495,11,False,False
0.485,11,False,True
0.49,13,False,True
0.475,11,True,False
0.515,11,False,False
0.515,11,False,True
0.505,11,False,False
0.49,9,False,False
0.485,11,False,False
0.5,9,False,False
0.505,11,False,True
0.51,12,False,True
0.49,9,False,False
0.525,10,False,True
0.52,11,False,True
0.52,11,False,False
0.56,11,False,False
0.535,11,False,False
0.575,11,False,False
0.17,4,True,False
0.17,5,True,False
0.185,6,True,False
0.27,7,True,False
0.35,8,False,True
0.355,10,False,True
0.38,10,False,True
0.395,11,False,True
0.43,11,False,False
0.4,9,False,True
0.415,9,False,True
0.395,9,False,False
0.435,11,False,True
0.43,8,False,False
0.48,9,False,True
0.43,10,False,True
0.455,11,False,True
0.465,8,False,True
0.525,10,False,True
0.215,5,True,False
0.22,5,True,False
0.285,7,True,False
0.29,7,True,False
0.32,7,True,False
0.325,7,True,False
0.34,7,True,False
0.34,6,True,False
0.405,10,False,True
0.36,8,False,False
0.415,8,False,True
0.4,10,False,False
0.4,9,False,False
0.425,7,False,False
0.42,8,False,True
0.45,9,False,True
0.45,10,False,False
0.495,11,False,True
0.495,10,False,False
0.49,10,False,False
0.515,11,False,True
0.505,11,False,True
0.53,10,False,False
0.39,9,False,False
0.35,9,False,True
0.42,11,False,True
0.4,10,False,True
0.425,20,False,True
0.15,4,True,False
0.42,13,False,True
0.45,14,False,True
0.54,24,False,False
0.5,21,False,False
0.375,11,False,False
0.335,9,False,True
0.395,9,False,True
0.44,10,False,True
0.435,9,False,True
0.255,6,False,False
0.2,7,True,False
0.22,6,False,False
0.44,9,False,False
0.41,9,False,False
0.54,18,False,False
0.49,15,False,True
0.45,10,False,True
0.465,14,False,False
0.405,13,False,True
0.355,9,False,True
0.405,11,True,False
0.38,12,False,False
0.41,15,False,False
0.3,8,False,True
0.385,11,False,True
0.505,10,False,True
0.44,11,False,True
0.545,13,False,False
0.415,11,False,False
0.36,6,False,False
0.385,8,False,False
0.405,7,False,True
0.145,5,True,False
0.405,14,False,False
0.47,12,False,False
0.405,18,False,False
0.245,5,True,False
0.235,7,True,False
0.335,11,False,True
0.38,9,False,False
0.405,10,False,False
0.3,6,False,False
0.485,17,False,False
0.53,15,False,False
0.265,9,False,True
0.215,8,True,False
0.25,9,True,False
0.34,14,True,False
0.48,10,False,False
0.42,13,False,False
0.51,16,False,True
0.34,10,False,True
0.525,16,False,True
0.4,11,False,True
0.435,18,False,True
0.415,8,False,True
0.525,16,False,True
0.35,9,True,False
0.32,10,False,False
0.35,13,False,False
0.505,12,False,False
0.41,13,False,True
0.48,12,False,False
0.485,13,False,False
0.53,14,False,True
0.54,15,False,False
0.525,14,False,True
0.48,15,False,True
0.51,14,False,False
0.555,19,False,False
0.435,13,False,True
0.5,11,False,True
0.35,9,False,False
0.375,8,True,False
0.38,12,False,True
0.35,6,True,False
0.35,7,False,False
0.23,5,True,False
0.375,7,False,True
0.505,18,False,True
0.435,13,False,False
0.52,12,False,False
0.485,14,False,False
0.45,17,False,True
0.5,12,False,False
0.38,14,False,True
0.385,11,False,False
0.335,10,False,False
0.31,11,False,True
0.425,17,False,True
0.405,18,False,False
0.39,15,False,False
0.475,11,False,False
0.44,11,False,True
0.51,14,False,False
0.46,12,False,True
0.395,12,False,False
0.405,9,False,True
0.455,13,False,True
0.5,14,False,False
0.45,14,False,True
0.5,17,False,True
0.5,13,False,False
0.485,16,False,True
0.5,16,False,False
0.525,11,False,False
0.445,16,True,False
0.325,9,False,False
0.2,5,False,True
0.355,9,True,False
0.485,13,False,False
0.31,11,False,True
0.355,11,True,False
0.26,9,False,True
0.35,16,False,True
0.2,7,False,True
0.125,4,False,True
0.425,16,False,False
0.385,11,True,False
0.37,15,False,False
0.28,12,True,False
0.265,10,False,True
0.415,12,True,False
0.475,13,True,False
0.435,10,False,False
0.34,11,False,False
0.34,13,True,False
0.36,12,True,False
0.3,8,True,False
0.35,11,False,False
0.525,15,True,False
0.525,16,False,False
0.475,12,False,False
0.39,12,False,False
0.38,13,True,False
0.385,13,True,False
0.405,15,False,False
0.365,8,True,False
0.36,10,False,False
0.285,8,True,False
0.215,5,False,True
0.315,9,False,True
0.3,9,False,True
0.31,11,True,False
0.21,5,False,True
0.465,17,True,False
0.48,13,True,False
0.33,16,True,False
0.405,19,False,True
0.375,10,False,False
0.33,10,False,False
0.19,5,True,False
0.255,8,False,True
0.21,8,True,False
0.13,5,True,False
0.435,19,False,True
0.4,15,False,True
0.375,14,False,True
0.225,7,False,False
0.4,13,False,True
0.535,13,False,True
0.465,16,False,True
0.42,13,False,True
0.515,19,False,True
0.48,13,False,True
0.45,13,False,False
0.475,18,False,True
0.375,12,False,False
0.35,8,False,False
0.43,10,False,True
0.395,18,False,True
0.345,13,False,True
0.265,9,True,False
0.28,8,False,True
0.265,6,True,False
0.315,7,True,False
0.31,7,True,False
0.32,7,True,False
0.355,8,True,False
0.395,9,False,True
0.37,7,False,False
0.465,9,False,False
0.45,7,False,True
0.47,8,False,True
0.51,10,False,True
0.545,10,False,False
0.55,13,False,True
0.605,13,False,True
0.18,4,True,False
0.21,6,True,False
0.24,6,True,False
0.265,5,True,False
0.275,6,True,False
0.3,8,True,False
0.35,8,True,False
0.37,7,True,False
0.355,7,False,False
0.385,8,True,False
0.39,8,False,False
0.395,7,False,True
0.44,7,False,False
0.44,8,False,False
0.46,8,False,False
0.475,9,False,True
0.48,12,False,False
0.47,8,False,False
0.505,8,False,True
0.495,11,False,False
0.485,11,False,True
0.495,10,False,True
0.52,11,False,False
0.585,10,False,False
0.565,11,False,True
0.58,9,False,False
0.12,3,True,False
0.15,4,True,False
0.265,6,True,False
0.315,6,True,False
0.29,7,True,False
0.3,6,True,False
0.335,7,True,False
0.34,8,True,False
0.345,6,True,False
0.37,7,True,False
0.475,8,False,False
0.405,8,True,False
0.42,8,False,False
0.42,10,False,True
0.44,8,False,True
0.44,8,False,True
0.43,9,False,False
0.415,8,False,True
0.44,8,False,True
0.45,9,False,False
0.46,10,False,True
0.47,9,False,False
0.41,8,False,True
0.475,12,False,True
0.49,11,False,False
0.51,10,False,False
0.495,10,False,True
0.5,11,False,False
0.475,9,False,False
0.52,10,False,False
0.505,9,False,True
0.52,11,False,True
0.54,11,False,False
0.525,10,False,True
0.525,12,False,False
0.575,11,False,False
0.57,11,False,True
0.545,11,False,False
0.185,4,True,False
0.24,6,True,False
0.23,6,True,False
0.26,6,True,False
0.265,6,True,False
0.265,6,True,False
0.265,7,True,False
0.275,7,True,False
0.285,7,True,False
0.31,6,True,False
0.315,6,True,False
0.265,9,True,False
0.325,8,True,False
0.355,8,True,False
0.435,8,True,False
0.34,8,True,False
0.36,8,True,False
0.35,7,True,False
0.355,9,True,False
0.37,7,False,False
0.4,9,True,False
0.39,8,True,False
0.415,8,False,True
0.41,9,True,False
0.425,10,True,False
0.45,10,False,False
0.47,10,False,True
0.42,9,True,False
0.42,8,False,False
0.455,8,True,False
0.44,9,True,False
0.475,9,False,False
0.45,9,False,True
0.46,10,True,False
0.46,10,True,False
0.47,11,True,False
0.465,10,False,False
0.47,9,False,False
0.475,11,False,False
0.475,11,False,True
0.485,9,False,False
0.48,10,False,False
0.48,9,False,True
0.475,10,False,False
0.485,9,False,True
0.465,11,True,False
0.495,10,False,True
0.515,12,False,True
0.515,11,False,True
0.475,9,False,False
0.53,11,False,True
0.52,12,False,True
0.285,8,True,False
0.37,8,True,False
0.375,7,False,False
0.39,8,False,True
0.43,7,False,True
0.405,9,False,False
0.465,10,False,False
0.46,10,False,True
0.475,11,False,True
0.475,9,False,True
0.46,9,False,True
0.515,11,False,True
0.5,12,False,False
0.505,10,False,True
0.5,9,False,False
0.525,10,False,False
0.53,10,False,True
0.525,10,False,True
0.205,6,True,False
0.22,5,True,False
0.225,5,True,False
0.22,5,True,False
0.275,6,True,False
0.29,8,True,False
0.34,8,True,False
0.345,7,True,False
0.37,9,True,False
0.355,8,True,False
0.345,8,True,False
0.335,9,True,False
0.365,8,True,False
0.39,9,True,False
0.415,8,True,False
0.425,9,True,False
0.42,9,True,False
0.41,9,False,True
0.45,10,True,False
0.41,9,False,True
0.415,10,True,False
0.4,9,True,False
0.43,9,True,False
0.45,9,True,False
0.44,8,True,False
0.42,11,False,False
0.465,10,False,False
0.46,9,True,False
0.465,8,False,True
0.47,10,True,False
0.44,10,False,False
0.46,10,False,False
0.45,12,False,False
0.5,10,False,False
0.49,11,False,True
0.49,10,False,False
0.45,10,False,True
0.495,9,False,False
0.5,11,False,True
0.525,10,False,True
0.48,10,False,True
0.485,11,True,False
0.5,13,False,True
0.51,12,False,True
0.52,11,False,True
0.495,11,False,True
0.52,10,False,False
0.525,13,False,True
0.51,10,False,False
0.525,11,False,True
0.53,10,False,False
0.51,10,False,True
0.54,11,False,False
0.51,11,False,False
0.54,11,False,True
0.535,11,False,False
0.51,11,False,True
0.55,10,False,True
0.55,11,False,True
0.53,10,False,False
0.56,11,False,False
0.13,5,True,False
0.25,7,True,False
0.32,7,False,False
0.355,9,True,False
0.365,7,False,False
0.375,9,False,True
0.395,8,True,False
0.375,10,True,False
0.38,9,False,True
0.455,10,False,True
0.505,10,False,True
0.48,10,False,True
0.47,9,False,True
0.505,9,False,False
0.525,9,False,False
0.5,11,False,False
0.525,12,False,False
0.555,12,False,False
0.205,5,True,False
0.205,5,True,False
0.29,6,True,False
0.315,6,True,False
0.355,8,True,False
0.36,8,True,False
0.37,8,True,False
0.395,8,True,False
0.39,9,True,False
0.4,9,True,False
0.425,9,False,True
0.425,9,False,True
0.42,10,False,True
0.395,8,True,False
0.41,11,True,False
0.4,10,True,False
0.45,9,True,False
0.46,10,False,True
0.43,9,False,False
0.45,10,True,False
0.465,9,False,True
0.46,9,False,False
0.45,8,False,True
0.47,9,False,True
0.45,9,True,False
0.48,10,False,True
0.455,10,False,True
0.5,11,False,False
0.48,11,False,True
0.5,10,False,True
0.51,10,False,False
0.505,10,False,False
0.525,14,False,False
0.52,10,False,True
0.54,12,False,True
0.56,11,False,False
0.155,3,True,False
0.23,6,True,False
0.23,7,True,False
0.27,7,True,False
0.305,9,False,True
0.31,8,True,False
0.365,8,False,False
0.375,8,False,False
0.4,8,True,False
0.445,9,False,True
0.49,12,False,False
0.26,8,True,False
0.275,6,True,False
0.34,8,True,False
0.45,8,False,True
0.44,10,False,True
0.455,9,False,False
0.46,7,False,True
0.47,11,False,True
0.52,10,False,False
0.52,11,False,True
0.385,14,False,True
0.365,14,False,False
0.41,11,False,True
0.26,6,False,True
0.35,7,False,False
0.325,9,False,True
0.25,8,True,False
0.425,8,False,True
0.41,9,False,False
0.42,11,False,True
0.475,9,False,False
0.45,16,False,True
0.35,11,False,True
0.275,6,True,False
0.37,9,False,True
0.535,14,False,False
0.295,7,False,False
0.44,10,False,True
0.41,12,False,True
0.465,9,False,False
0.255,9,True,False
0.45,12,False,False
0.5,18,False,False
0.395,19,False,True
0.43,10,False,False
0.39,15,False,False
0.34,8,False,False
0.36,12,False,False
0.4,9,False,False
0.45,16,False,True
0.355,10,False,True
0.455,10,False,False
0.545,15,False,False
0.225,9,True,False
0.33,7,True,False
0.375,7,False,False
0.44,9,False,False
0.5,12,False,True
0.4,16,False,True
0.46,12,False,False
0.4,13,False,False
0.355,9,True,False
0.575,14,False,True
0.5,17,False,False
0.46,10,False,False
0.105,4,True,False
0.345,15,False,True
0.43,12,False,False
0.12,4,True,False
0.47,16,False,True
0.18,4,False,True
0.39,13,True,False
0.365,9,True,False
0.375,10,False,False
0.355,13,False,True
0.27,10,True,False
0.4,11,True,False
0.445,11,True,False
0.41,10,False,False
0.46,13,True,False
0.49,18,False,False
0.23,8,False,True
0.28,10,False,True
0.4,10,True,False
0.4,20,False,False
0.35,8,False,False
0.42,14,True,False
0.55,10,True,False
0.515,16,False,False
0.535,21,False,False
0.44,17,True,False
0.18,6,True,False
0.41,11,False,True
0.4,13,False,False
0.425,13,False,True
0.275,10,False,False
0.42,14,False,True
0.39,11,False,True
0.44,15,False,False
0.45,14,False,True
0.175,6,True,False
0.41,13,False,True
0.365,16,False,True
0.4,12,False,False
0.415,13,False,False
0.425,13,False,False
0.235,5,True,False
0.355,8,True,False
0.385,7,False,True
0.385,9,True,False
0.395,12,False,False
0.44,10,False,False
0.5,9,False,False
0.55,11,False,False
0.575,10,False,False
0.205,4,True,False
0.22,6,True,False
0.23,6,True,False
0.3,6,True,False
0.285,6,True,False
0.295,6,True,False
0.315,8,False,True
0.33,7,True,False
0.33,6,True,False
0.35,7,True,False
0.35,7,True,False
0.39,8,False,True
0.41,7,False,False
0.455,8,False,True
0.45,6,False,False
0.465,10,False,True
0.48,11,False,True
0.545,11,False,False
0.52,11,False,False
0.51,10,False,True
0.6,12,False,True
0.135,4,True,False
0.175,5,True,False
0.23,6,True,False
0.31,6,True,False
0.35,7,True,False
0.35,6,True,False
0.375,8,True,False
0.39,8,True,False
0.43,9,False,False
0.465,9,False,True
0.46,11,False,False
0.455,12,False,True
0.49,8,False,True
0.475,9,False,True
0.53,9,False,True
0.465,8,False,False
0.505,8,False,True
0.48,10,False,True
0.48,10,False,True
0.525,9,False,False
0.485,8,False,True
0.515,10,False,True
0.55,11,False,False
0.58,10,False,False
0.545,11,False,True
0.2,6,True,False
0.26,7,True,False
0.28,7,True,False
0.31,8,True,False
0.335,7,True,False
0.325,7,True,False
0.325,8,True,False
0.385,10,True,False
0.405,7,False,True
0.42,8,True,False
0.415,10,True,False
0.445,11,True,False
0.45,12,False,False
0.45,10,True,False
0.46,10,False,False
0.425,10,False,False
0.45,9,False,True
0.46,11,False,True
0.485,11,False,True
0.495,13,False,False
0.495,9,False,True
0.495,9,False,True
0.5,10,False,True
0.485,10,False,False
0.51,11,False,True
0.535,11,False,False
0.56,10,False,False
0.39,8,False,True
0.465,10,False,True
0.49,9,False,True
0.515,11,False,False
0.49,9,False,False
0.275,6,True,False
0.3,6,True,False
0.305,7,True,False
0.36,8,True,False
0.395,9,True,False
0.4,8,True,False
0.45,8,False,True
0.43,8,True,False
0.435,9,True,False
0.43,10,False,True
0.385,8,False,True
0.43,8,True,False
0.45,11,False,True
0.48,10,False,False
0.51,11,False,True
0.475,10,True,False
0.365,9,False,True
0.5,12,False,True
0.49,11,False,False
0.53,13,False,True
0.485,11,False,False
0.5,12,False,False
0.525,9,False,True
0.51,11,False,False
0.545,10,False,True
0.565,9,False,False
0.59,11,False,False
0.35,7,True,False
0.365,8,False,True
0.4,8,True,False
0.42,9,False,False
0.42,8,True,False
0.45,9,False,False
0.215,4,True,False
0.35,9,True,False
0.375,8,True,False
0.385,8,True,False
0.42,11,False,True
0.445,10,True,False
0.435,8,False,True
0.425,10,True,False
0.45,10,False,True
0.45,11,False,True
0.455,9,False,False
0.5,11,False,False
0.505,11,False,True
0.49,11,False,True
0.525,13,False,True
0.535,11,False,True
0.525,11,False,True
0.53,10,False,True
0.605,11,False,True
0.215,6,True,False
0.23,7,True,False
0.25,6,True,False
0.315,8,True,False
0.33,6,True,False
0.35,6,True,False
0.37,8,False,True
0.36,8,False,True
0.355,8,True,False
0.475,11,False,False
0.455,11,False,False
0.29,7,True,False
0.3,7,True,False
0.365,10,True,False
0.38,9,False,True
0.4,8,False,False
0.43,10,False,True
0.43,8,False,True
0.45,11,False,False
0.44,10,False,True
0.475,9,False,True
0.485,10,False,False
0.35,10,False,True
0.38,11,False,True
0.405,10,False,False
0.34,10,False,False
0.32,9,False,True
0.28,11,False,True
0.275,10,True,False
0.44,12,False,False
0.415,9,False,False
0.44,11,False,False
0.45,11,False,False
0.525,18,False,True
0.15,4,True,False
0.36,10,False,True
0.31,7,False,True
0.35,8,False,True
0.385,8,False,True
0.405,9,False,True
0.41,10,False,False
0.4,8,False,True
0.44,12,False,False
0.39,10,False,False
0.48,11,False,True
0.45,13,False,False
0.47,10,False,False
0.475,14,False,False
0.475,21,False,True
0.465,13,False,True
0.44,10,False,True
0.495,10,False,False
0.375,10,False,False
0.265,7,True,False
0.34,10,False,True
0.295,7,True,False
0.275,6,True,False
0.29,8,True,False
0.48,17,False,True
0.26,7,False,False
0.205,9,True,False
0.13,5,True,False
0.5,9,False,False
0.485,16,False,True
0.465,13,False,True
0.485,12,False,True
0.57,14,False,True
0.56,14,False,True
0.405,8,False,False
0.16,5,True,False
0.26,7,True,False
0.21,5,True,False
0.475,11,False,True
0.51,21,False,True
0.45,10,False,False
0.5,10,False,False
0.46,9,False,False
0.48,13,False,True
0.485,12,False,True
0.45,14,False,True
0.41,11,False,False
0.45,15,False,True
0.4,13,False,True
0.435,13,False,False
0.415,13,False,False
0.28,7,True,False
0.395,14,False,False
0.3,7,True,False
0.355,11,False,False
0.38,10,True,False
0.445,13,False,True
0.35,12,True,False
0.055,1,True,False
0.09,3,True,False
0.12,5,True,False
0.175,5,True,False
0.245,13,True,False
0.275,9,True,False
0.245,7,True,False
0.47,13,False,True
0.45,19,False,True
0.44,12,False,False
0.45,14,False,True
0.275,8,False,True
0.485,14,False,True
0.505,15,False,True
0.515,13,False,True
0.38,14,False,True
0.415,10,False,False
0.435,10,False,False
0.505,12,False,False
0.21,4,True,False
0.28,9,False,True
0.305,9,False,False
0.145,4,True,False
0.31,11,False,True
0.255,7,True,False
0.295,8,False,True
0.28,8,True,False
0.38,12,False,True
0.465,11,False,True
0.475,14,False,True
0.45,15,False,False
0.465,12,False,True
0.39,13,False,True
0.42,9,False,False
0.305,8,True,False
0.46,12,False,True
0.525,13,False,True
0.465,12,False,False
0.5,12,False,False
0.56,17,False,False
0.49,11,False,True
0.465,15,False,True
0.4,10,False,True
0.425,10,False,True
0.375,9,True,False
0.375,10,False,False
0.275,6,True,False
0.38,8,False,True
0.325,7,False,False
0.485,16,False,True
0.475,14,False,True
0.46,11,False,False
0.5,16,False,False
0.54,14,False,False
0.5,19,False,True
0.455,21,False,False
0.455,18,False,True
0.42,22,False,True
0.41,11,False,True
0.275,10,True,False
0.555,17,False,False
0.465,12,False,False
0.185,6,True,False
0.165,5,True,False
0.125,5,True,False
0.44,9,False,False
0.34,9,True,False
0.405,11,False,False
0.415,17,False,True
0.46,19,False,False
0.465,13,False,False
0.42,11,False,True
0.51,11,False,False
0.5,15,False,False
0.485,19,False,False
0.44,12,False,False
0.485,17,False,False
0.47,15,False,True
0.445,16,True,False
0.53,10,True,False
0.29,9,False,True
0.25,6,False,False
0.15,3,False,True
0.27,5,False,False
0.11,3,False,True
0.42,20,True,False
0.37,10,True,False
0.38,11,True,False
0.405,11,True,False
0.29,10,False,False
0.195,8,False,True
0.515,17,True,False
0.44,12,True,False
0.39,9,True,False
0.355,14,False,False
0.355,12,True,False
0.345,14,True,False
0.455,20,False,False
0.475,10,True,False
0.475,11,False,False
0.445,11,True,False
0.48,17,False,False
0.49,11,False,False
0.355,13,True,False
0.39,11,True,False
0.425,10,True,False
0.41,13,False,False
0.335,14,False,True
0.455,13,True,False
0.445,16,False,False
0.345,13,True,False
0.37,10,True,False
0.285,10,False,True
0.145,4,False,True
0.37,18,True,False
0.355,12,False,False
0.385,12,False,False
0.405,12,False,False
0.335,10,False,False
0.265,10,False,True
0.365,10,False,True
0.295,9,False,True
0.26,6,False,True
0.4,13,False,False
0.255,7,False,True
0.34,9,False,True
0.33,11,True,False
0.18,5,False,True
0.245,6,True,False
0.45,11,True,False
0.34,10,False,False
0.35,13,False,False
0.39,21,False,True
0.275,8,False,False
